"filename", "language", "Markdown", "XML", "TypeScript JSX", "TypeScript", "JSON", "CSS", "C#", "JSON with Comments", "HTML", "JavaScript", "MS SQL", "YAML", "comment", "blank", "total"
"c:\utv\Henry\MappingTool\IntegrationMapper.Infrastructure\Services\LocalFileStorageService.cs", "C#", 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 0, 1, 9, 55
"c:\utv\Henry\MappingTool\IntegrationMapper.Infrastructure\Services\MappingService.cs", "C#", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 3, 27
"c:\utv\Henry\MappingTool\IntegrationMapper.Infrastructure\Services\XsdSchemaParserService.cs", "C#", 0, 0, 0, 0, 0, 0, 138, 0, 0, 0, 0, 0, 3, 17, 158
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Controllers\DevAuthControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 12, 60
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Controllers\MappingsControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 10, 15, 87
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Controllers\SchemasControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 58, 0, 0, 0, 0, 0, 5, 12, 75
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Controllers\SystemsControllerTests.cs", "C#", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 7, 10, 63
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\IntegrationMapper.Tests.csproj", "XML", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 29
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Services\AiMappingServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 13, 15, 106
"c:\utv\Henry\MappingTool\IntegrationMapper.Tests\Services\JsonSchemaParserServiceTests.cs", "C#", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 10, 13, 84
